URL;Aanmaken;Account;Adres;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Shop;Showroom;Thuiswinkel;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Web;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.9292.nl;10;167;214;0;0;5;2;1;2;0;0;66;1;0;5;5;1;2;0;1;1;34;14;1;0;0;0;0;0;0;0;0;0;12;212;4;0;1;0;1;6;76208;69
http://www.abnamro.nl;22;7;118;0;0;3;3;0;225;3;0;171;56;6;15;20;0;2;5;1;151;23;17;0;24;0;0;4;9;0;0;4;1;0;117;2;0;1;0;12;52;48606;71
http://www.ad.nl;0;4;13;0;0;3;1;1;0;0;7;9;7;0;6;0;0;2;0;0;2041;12;12;8;0;0;0;0;0;0;0;0;0;1;1059;11;0;0;0;3;2;122991;140
http://www.adeco.nl;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;40;0;0;28;0;0;0;2;0;0;1;1;0;14;0;0;0;0;0;0;9091;2
http://www.adzuna.nl;0;1079;1190;0;0;0;0;0;0;0;0;952;4;0;0;119;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1309;119;0;0;0;0;0;234;77230;119
http://www.alex.nl;0;0;16;0;0;2;0;0;1;0;0;82;64;35;9;17;0;36;0;0;4345;59;10;1;102;0;0;1;0;0;0;0;0;1;3019;0;0;0;0;39;8;487909;44
http://www.az.nl;1;16;2;0;0;103;91;0;0;0;0;74;7;0;235;5;0;4;2;0;145;9;4;1;245;0;0;1;0;0;0;1;1;1;397;4;4;0;0;11;217;50786;74
http://www.b9.nl;2;20;712;2;0;36;20;6;4;0;1;5;25;0;197;49;31;7;0;4;14;165;104;3;166;10;3;7;4;3;3;13;10;0;527;583;0;364;0;7;34;132027;207
http://www.belastingdienst.nl;0;15;27;0;0;10;0;0;75;0;0;170;0;0;8;5;0;24;0;0;5;1;1;0;0;0;0;2;0;0;0;0;0;4;67;0;0;0;0;0;118;15539;37
http://www.beslist.nl;216;648;4;0;0;712;332;219;2;21;0;216;4;0;483;859;45;0;0;1;125;1668;909;12;1920;6;146;0;1;63;19;21;0;0;778;1386;0;218;1;0;223;611774;216
http://www.betabanen.nl;12;52;17;0;1;0;0;0;0;0;1;152;29;0;17;2;0;1;0;0;0;55;16;0;0;1;0;0;0;0;0;1;0;10;9;0;0;0;0;0;165;26255;48
http://www.betabanen.nl;12;52;17;0;1;0;0;0;0;0;1;152;29;0;17;2;0;1;0;0;0;55;16;0;0;1;0;0;0;0;0;1;0;10;9;0;0;0;0;0;165;26205;48
http://www.blog.nl;1;9;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;6;0;0;0;9;0;0;0;0;0;2;0;0;0;0;4;1;6943;9
http://www.blogspot.nl;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;16335;7
http://www.blokker.nl;0;1;1361;0;0;2186;213;0;0;13;1669;10;452;0;110;46;28;6;0;2;11234;30972;266;0;3701;0;0;0;191;0;0;211;1;0;235;5230;197;2071;2497;1644;405;1470753;216
http://www.borent.nl;0;121;9;0;0;29;1;2;3;1;1;57;26;0;56;12;4;0;23;5;22;86;18;0;5;0;0;0;0;0;0;86;39;2;121;17;0;1;7;23;82;36243;58
http://www.bright.nl;91;2459;463;0;0;9;2;0;8;182;0;1547;1;0;38;14;0;0;0;4;3;49;22;2;5;0;0;91;0;0;6;182;0;1820;16;11;0;2;1;10;105;147464;92
http://www.buienradar.nl;0;24;6;0;0;0;0;0;0;0;0;3;3;0;1;1;3;5;0;1;113;5;3;0;0;0;0;1;0;0;0;0;0;5;186;0;0;0;0;1;0;108778;113
http://www.cafethomas.nl;0;100;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;4;0;130;150;0;0;40;0;0;0;0;0;0;0;0;0;72;0;0;0;0;6;0;13318;10
http://www.daisycon.com;0;104;155;0;0;18;2;5;7;2;0;6;23;0;32;9;7;5;0;9;12;425;39;3;175;0;0;3;1;1;0;2;0;7;406;14;0;2;11;0;13;69757;78
http://www.decorrespondent.nl/home;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;12;6;0;0;0;0;0;0;0;0;0;0;0;12;6;0;0;0;0;0;21542;53
http://www.digitalweb.nl;19;307;128;0;0;6;2;2;39;8;0;12;20;0;74;192;4;175;0;18;594;85;67;14;18;0;0;4;147;0;0;8;0;21;1299;74;0;23;0;0;238;247395;145
http://www.dok6.eu;0;80;2;2;0;40;21;0;1;0;0;0;0;0;20;1;0;2;23;0;482;237;0;0;64;0;0;0;17;0;0;0;0;16;58;4;4;0;0;4;2;32058;36
http://www.dokterdokter.nl;1;0;95;0;0;5;2;0;1;0;0;0;1;0;7;3;12;2;0;3;2684;1448;13;0;356;0;0;1;0;0;0;0;0;1;317;5;0;0;0;2;217;268040;90
http://www.dumpert.nl;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;1;1;18462;42
http://www.duo.nl;0;12;21;0;0;0;0;0;25;2;0;68;1;0;1;0;0;6;1;0;1;22;1;0;0;0;0;0;0;1;0;2;0;2;90;0;0;0;0;0;63;9229;43
http://www.dutchcharts.nl;0;2;1;0;0;2;1;0;6;0;0;0;1;0;29;28;0;3;0;0;131;12;1;0;20;0;0;0;0;0;0;0;0;0;17;7;0;5;0;7;8;271782;127
http://www.dutchnews.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1
http://www.eetcafespijker.nl;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;638;1
http://www.eigenstart.nl;746;2;10;0;0;15;11;0;0;0;1;373;0;0;1891;9;1;1;0;0;376;3997;3;0;3404;1;0;2;0;0;0;0;0;1891;5319;3402;0;1511;1;0;1133;1019792;417
http://www.fok.nl;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;6;0;0;54;6;6;0;0;0;0;0;0;0;0;0;0;6;72;3;0;0;0;0;15;7623;3
http://www.funda.nl;3;32;56;0;0;1;0;1;12;0;0;35;2;0;157;52;0;1;0;1;20;8;2;1;4;1;0;2;0;0;0;3;0;31;277;4;0;2;0;0;98;63150;36
http://www.geenstijl.nl;0;84;33;0;0;31;12;0;99;11;0;0;4;0;79;66;19;27;0;8;40;30;11;3;10;0;0;4;0;0;0;12;1;0;120;23;0;1;0;29;90;538110;96
http://www.gratis.nl;1;179;30;12;0;70;22;0;19;0;1;0;20;0;107;210;4;41;0;4;634;831;810;3;74;0;0;12;1;4;8;3;0;0;302;53;0;18;0;5;313;114787;154
http://www.gtst.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;293;1
http://www.hanos.nl;0;303;6;0;0;2096;316;0;2;1;307;6;922;0;27;9;24;9;547;301;12;6926;3682;1;1568;1;0;0;0;0;0;7;3;2;3325;2;1;0;0;1;303;482564;301
http://www.hyves.nl;0;508;0;0;0;0;0;0;0;0;0;127;127;0;0;0;0;0;0;0;127;0;0;0;50;0;0;0;0;0;0;0;0;0;6635;4;0;0;0;0;513;265055;127
http://www.indeed.nl;0;100;142;0;0;2;0;2;42;4;0;13;12;0;32;22;0;44;0;0;607;65;30;10;0;0;0;0;14;4;0;4;0;6;395;0;0;0;0;0;198;69270;13
http://www.ing.nl;0;0;0;0;0;0;0;0;12;2;0;7;3;0;0;4;0;0;0;0;1;6;2;0;0;0;0;0;0;0;0;2;0;0;5;1;0;0;0;0;2;3245;1
http://www.ingenieurnext.nl;61;73;44;0;0;0;0;0;0;2;0;1;32;0;62;3;0;3;0;0;13;135;2;0;0;0;0;0;2;0;0;8;4;10;49;0;0;0;0;0;115;57266;45
http://www.intermediair.nl;6;478;14;0;0;12;3;2;4;5;0;156;155;0;239;11;0;4;0;0;15;387;179;6;134;0;0;1;0;0;0;41;10;9;272;20;8;4;0;0;841;153592;150
http://www.ixtanoa.nl;0;2;3;0;0;19;19;0;0;1;0;0;0;0;3;1;19;1;0;2;69;5;5;0;5;0;0;0;0;0;0;6;2;0;59;19;0;0;0;0;115;35941;51
http://www.jamba.nl;0;6;3;0;0;3;2;0;4;0;0;0;1;0;7;5;0;1;0;0;24;15;11;0;0;0;0;0;2;0;0;0;0;4;3;2;0;0;0;0;3;27016;129
http://www.jobnet.nl;14;162;24;0;0;0;0;0;0;0;0;60;3;0;1;1;3;3;0;0;2;26;9;1;7;0;0;1;0;0;0;3;3;3;237;0;0;0;0;6;27;40539;55
http://www.jouwportaal.nl;0;6;0;0;0;3;1;0;2;0;0;0;0;0;1;2;0;0;0;0;2;4;4;0;2;0;0;0;0;0;0;1;1;9;7;8;0;5;0;0;0;3026;41
http://www.kieskeurig.nl;3;987;17;0;0;14;6;0;1;58;0;14;3;0;3735;705;4;2;0;0;31;1506;550;0;4135;0;0;0;1;4;0;58;0;3;634;4191;1;3035;0;0;12;377323;189
http://www.kijk.nl;0;697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;0;0;0;0;24;12;57923;87
