URL;Aanmaken;Account;Adres;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Shop;Showroom;Thuiswinkel;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Web;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.allrisk-verzekering.nl;0;0;14;0;0;0;0;0;2;0;0;0;12;0;4;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;14;3;3652;21
http://www.amazingcakes.nl;0;0;11;9;0;3660;3257;314;29;1;9;0;5;0;12;5;44;17;333;5;85;354;8;0;1655;0;0;0;60;5;30;2;0;0;3880;4684;0;0;1171;72;316;374236;288
http://www.amazon.com;0;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1570;794;0;8;958;0;0;0;0;0;0;0;0;0;747;0;0;0;0;0;0;238154;102
http://www.america-today.com;0;177;0;354;0;177;177;0;177;0;174;0;0;0;0;0;0;0;0;0;354;9;0;0;0;0;0;0;174;0;0;0;0;0;885;0;0;0;0;0;0;245271;177
http://www.amsklokken.nl;1;169;400;10;7;498;113;4;154;14;2;1;66;0;32;12;4;26;105;104;391;517;107;0;52;111;23;1;111;168;62;16;1;104;215;165;1;55;67;0;55;137257;52
http://www.angelascupcakefactory.nl;0;23;36;0;0;131;60;0;92;0;0;23;0;12;46;0;12;0;34;12;299;58;35;0;175;0;0;0;46;0;12;0;0;0;279;141;59;0;23;0;11;34819;23
http://www.anwb.nl/webwinkel;16;30;18;0;0;10;3;0;15;0;0;14;1;0;3;28;0;0;0;0;4;31;16;0;8;0;0;0;0;0;1;0;0;2;96;105;0;37;0;0;2;11838;15
http://www.apple.com/nl/;0;133;0;0;0;181;120;0;1;0;0;0;2;0;66;121;0;1;0;0;5;16;13;0;180;0;0;0;0;1;0;0;0;8;52;60;0;0;0;0;66;18015;60
http://www.badkamer.nl;0;0;27;0;7;353;3;200;9;10;2;0;7;0;120;25;17;16;202;0;11;455;166;0;13;320;24;1;2;1;101;14;0;0;38;234;206;0;0;6;4;87090;99
http://www.batavus.nl;0;0;37;1;0;12;7;0;0;4;0;1;2;0;79;16;16;12;0;1;26;20;5;0;206;112;0;0;1;0;0;4;1;0;1849;904;0;260;1;2;176;119552;93
http://www.bcc.nl;0;5;37;998;3;597;232;14;55;13;121;0;284;0;198;98;19;3;6;0;1577;6889;424;0;305;0;6;3;6;3;5;20;6;0;82;3304;0;865;1488;17;158;357277;130
http://www.blokker.nl;0;1;1361;0;0;2190;213;0;0;13;1669;10;443;0;109;46;28;6;0;2;11209;30943;271;0;3701;0;0;0;191;0;0;213;3;0;237;5232;197;2071;2499;1644;405;1469057;215
http://www.boerenbond.nl;3;960;103;2;0;6390;375;240;522;6;3;244;5;0;135;118;636;13;12;244;1009;4624;3842;0;859;0;2;0;6;257;242;6;0;11;875;3246;2;741;516;3;4;398073;238
http://www.c-and-a.com/nl/nl/shop/index.html;0;44;0;0;0;110;44;44;0;0;0;0;22;0;44;22;22;0;0;0;264;550;0;0;308;0;0;0;0;44;0;0;0;0;726;66;22;22;0;0;22;48994;22
http://www.centerparcs.nl;8;267;34;0;0;183;9;0;33;2;0;8;4;0;138;2;0;12;3;1;5;432;31;0;286;0;0;2;1;0;0;2;0;1;280;11;0;2;0;100;178;336639;128
http://www.cupcake-store.nl;512;1024;266;526;7;3611;3030;522;780;7;4;256;521;0;810;7;13;12;0;0;9;852;546;0;1012;0;0;4;267;517;268;8;0;512;7806;6250;1292;1;256;2;258;479756;257
http://www.debijenkorf.nl;93;1023;309;2;1;342;48;10;76;4;20;318;233;0;49;30;564;25;30;58;1018;10874;94;1;668;0;53;2;5;5;10;10;1;451;133;218;47;19;0;21;7;122096;57
http://www.decathlon.nl;9;523;908;21;11;611;50;211;163;6;114;94;385;0;177;198;42;26;0;9;1067;13759;156;10;446;0;116;2;0;119;14;32;21;387;3604;1571;1;182;389;2;19;413495;105
http://www.dell.nl;0;36;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;110;84;64;25;3;0;0;0;0;0;0;0;0;0;13;3;0;0;0;0;1;7661;16
http://www.douglas.nl;0;86;326;309;0;1089;164;3;0;0;1;116;149;0;78;139;26;3;0;155;493;1053;340;0;1032;0;0;0;0;2;3;0;0;4;520;329;315;5;0;1;11;295755;209
http://www.euromaster.nl;0;12;128;1;0;17;1;0;6;4;3;3;84;0;141;310;5;6;78;0;236;19;16;0;1;0;0;0;0;0;1;234;167;0;596;425;0;0;1;1;14;94692;115
http://www.europcar.nl;4;187;43;5;0;101;2;0;15;13;0;4;51;0;34;2;0;3;69;30;13;78;72;0;14;0;0;0;1;0;0;513;324;8;370;0;0;0;0;4;14;100410;58
http://www.expert.nl;0;793;545;151;10;355;9;15;6;4;2;132;24;3;157;261;174;21;0;2;319;14975;912;0;1186;0;23;4;0;14;1;6;0;534;491;2036;5;792;136;17;322;554777;132
http://www.fietsenwinkel.nl;468;234;491;123;0;822;38;1;80;17;3;0;1067;15;352;101;6;34;29;14;941;7764;510;0;508;0;5;0;0;0;4;17;0;468;1411;5503;237;1134;2;760;247;794920;234
