URL;Aanmaken;Account;Adres;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Shop;Showroom;Thuiswinkel;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Web;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.123tijdschrift.nl;0;238;52;0;0;1238;58;1;5;27;3;0;136;0;78;4;1;38;0;0;187;142;7;0;5;0;0;1;0;2;1;28;0;0;123;3;0;1;0;36;0;228095;119
http://www.actievandedag.nl;2;491;17;0;0;16;2;2;27;69;0;179;212;0;18;34;3;8;72;0;125;163;120;0;76;0;0;0;2;4;5;69;1;16;349;8;0;2;0;12;5;64297;57
http://www.afuture.nl;1;28;24;32;1;225;185;2;4;2;0;30;43;0;12;2;0;11;5;0;28;68;30;2;0;0;0;0;22;4;4;2;0;9;16;12;0;0;10;7;5;12262;26
http://www.albelli.nl;2;670;327;0;2;145;21;8;15;3;16;160;277;0;1;0;35;5;6;2;1068;939;471;0;93;0;0;4;9;3;374;3;0;16;532;657;495;0;162;3;89;158174;82
http://www.allecondooms.nl;1;1;11;7;9;1320;59;118;262;5;13;0;527;0;244;175;52;8;4;3;131;612;166;0;48;4;144;3;1;132;46;7;0;0;27;667;3;2;480;0;4;83680;114
http://www.allekabels.nl;0;5884;12;0;0;2936;955;0;0;984;0;8;4890;0;1022;0;3;0;0;0;1959;12914;7899;0;0;0;0;0;0;0;0;984;0;16;1958;41425;0;0;41407;0;1;2886456;986
http://www.allergieshop.nl;0;1785;1530;0;0;1020;255;0;0;0;255;255;255;0;766;0;0;0;765;510;765;10455;255;0;10968;0;255;0;0;0;255;0;0;510;0;1528;0;0;763;0;510;1038766;255
http://www.allergiewinkel.nl;0;154;0;0;0;1240;77;77;94;2;78;154;366;0;13;31;3;0;0;0;0;1173;116;0;318;233;0;0;0;94;0;2;0;0;156;52;0;1;50;5;2;119237;117
http://www.allergiezorg.nl;0;529;1056;1;0;883;354;0;178;0;355;0;531;0;0;0;0;0;529;352;528;709;357;0;0;0;353;0;1;0;177;0;0;352;177;529;0;0;176;0;176;320121;177
http://www.alleslingerie.nl;6;1796;2389;297;0;2206;604;304;11;5;632;302;310;0;15;1;346;5;592;592;1495;4358;933;0;713;0;0;0;1;2;8;5;0;598;886;3051;0;0;2296;43;1193;1017404;299
http://www.allesvooruwvloer.nl;0;510;408;0;0;306;102;0;204;0;0;0;102;0;0;0;0;0;0;0;0;612;306;0;0;0;204;0;0;102;0;0;0;510;102;1122;0;0;918;0;204;121992;102
http://www.alletheorieboeken.nl;0;306;306;0;0;1224;153;0;459;0;0;306;306;0;0;0;0;0;0;0;1224;8262;459;0;2295;0;0;0;0;0;0;0;0;306;918;2754;0;0;2601;0;153;456161;154
http://www.allezadenkopen.nl;0;104;26;0;7;459;289;53;48;3;2;0;53;0;53;387;5;14;1;0;80;164;114;0;38;0;71;0;2;51;84;5;0;0;93;103;8;0;17;0;23;38045;52
http://www.allpax.nl;470;472;23;0;7;64;2;2;7;4;3;143;39;0;14;2;1;9;0;1;7;81;41;1;37;0;59;0;1;2;159;6;0;337;73;431;0;1;368;0;0;41424;39
http://www.allsecur.nl;0;11;36;0;0;0;0;0;64;2;0;62;82;0;38;43;3;3;4;0;54;52;44;0;8;0;0;6;0;0;0;2;0;9;95;0;0;0;0;2;4;54705;48
http://www.altijdlekkervlees.nl;0;156;130;1;7;390;61;9;104;5;19;48;52;0;19;19;3;22;0;0;258;318;127;0;3;0;27;2;0;2;3;7;0;183;70;100;47;0;7;1;86;85977;42
http://www.antratek.nl;2;69;65;0;0;327;17;1;44;0;33;32;29;0;58;1;0;1;0;0;115;379;153;0;30;0;5;0;0;33;23;0;0;62;100;60;0;0;46;0;42;61877;29
http://www.avantisport.nl;0;47;6;0;0;17;1;0;9;0;0;27;50;0;3;0;0;1;0;8;1;110;33;0;482;0;0;0;0;0;50;0;0;8;54;70;1;1;62;0;8;24760;24
http://www.bakgoed.nl;0;630;628;26;7;957;2;12;457;12;18;0;0;0;2194;0;1;6;0;0;831;1929;253;1;208;0;0;0;227;454;17;14;0;414;658;2076;0;0;1550;25;421;697863;207
http://www.bbeachi.nl;0;13;3;0;0;15;0;0;0;0;0;39;0;0;57;0;0;1;0;4;31;169;34;13;41;0;0;0;0;0;15;0;0;0;113;87;0;0;40;0;3;12198;13
http://www.beenmode.nl;1;222;19;0;7;365;53;10;117;5;5;108;365;0;33;85;291;9;0;0;8;470;355;0;283;0;29;3;4;251;15;7;0;0;234;312;151;1;109;3;295;139654;108
http://www.bol.com;2;3663;1060;0;0;2689;644;278;85;32;1872;274;1235;0;1143;681;179;2;0;203;3524;13354;188;0;237;0;274;1;1;427;80;34;0;1;1612;3004;0;5;1648;15;174;715821;432
http://www.cameranu.nl;3;2015;63;9;9;12368;57;27;68;157;23;8;3018;0;217;577;657;25;1139;8;2219;4129;2808;0;2139;0;23;25;595;683;17;158;14;5;635;1281;572;7;0;1161;19;1561746;588
http://www.cheaptickets.nl;0;4235;69;0;0;0;0;0;0;146;0;146;24;0;13;4;0;0;0;0;33;1753;1;0;733;0;438;0;0;0;0;146;0;0;2744;438;0;0;0;0;72;61506;81
http://www.condoom-anoniem.nl;0;128;196;130;7;724;666;3;449;2;3;126;256;0;38;167;148;10;0;1;11;1026;65;0;19;0;92;1;383;475;9;3;0;0;530;1033;0;0;879;0;0;172668;127
http://www.deonlinedrogist.nl;0;176;88;0;0;515;127;4;0;0;1;176;450;0;2;103;0;0;0;0;3;367;226;0;262;0;176;0;0;402;180;0;0;0;560;932;0;0;692;0;1;118112;88
